10 bcdefghi,aihjdc,abd,acbjhgfe,adf,aedg,afdh,agdjbi,ahb,bhd
10 bcdefghi,aij,ajg,agfe,adf,aedg,afdch,agji,ahjb,bihc
10 bcdefgh,ahi,aihgd,acje,adjf,aej,ajc,acib,bhc,dgfe
10 bcdefg,ahic,abid,aci,aih,ahjg,afj,bjfe,bedc,fhg
10 bcdef,aghc,abh,ahi,aijf,aej,bih,bgdc,dgje,eif
10 bcde,afg,agh,ahie,adi,bjg,bfjc,cjid,dhe,fhg
10 bcdefg,ahi,aihgd,acje,adjf,aej,ajc,bci,bhc,dgfe
10 bcdef,aghc,abhd,ach,ahg,aij,bjie,bedc,fgj,fig
10 bcde,afgc,abg,agh,aij,bhg,bfdc,dfji,ehj,eih
10 bcdefgh,ahfei,aijd,acj,ajb,abhg,afh,agfb,bjc,cied
10 bcdefg,agh,ahgfi,aije,adj,ajc,achb,bgc,cjd,dife
10 bcdef,agh,ahgfi,aije,adj,ajc,bch,bgc,cjd,dife
10 bcdefg,agfh,aijd,acj,ajh,ahbg,afb,bfei,chj,cied
10 bcdefg,ahc,abhd,achgi,aijf,aej,ajd,bdc,dje,eigf
10 bcdef,afgh,aijd,acj,ajh,agb,bfh,bgei,chj,cied
10 bcdefgh,ahij,aji,aih,ahgf,aeg,afeh,agedb,bdcj,bic
10 bcdefg,agh,ahgfd,acij,aji,aic,achb,bgc,dfej,die
10 bcdef,aghi,aih,ahg,agjf,aej,bjed,bdci,bhc,egf
10 bcdef,agedh,aij,ajb,abgf,aeg,bfe,bji,chj,cihd
10 bcdef,agh,ahgfd,acij,aji,aic,bch,bgc,dfej,die
10 bcde,afgh,ahg,agf,aij,bjid,bdch,bgc,efj,eif
10 bcdefg,agfh,ahij,aji,aih,ahbg,afb,bfec,cedj,cid
10 bcdefg,agedh,aij,ajb,abgf,aeg,afeb,bji,chj,cihd
10 bcdef,afeg,ahi,aig,agbf,aeb,bedj,cji,chjd,gih
10 bcdefg,ahc,abhd,achge,adij,aji,aid,bdc,egfj,eif
10 bcdef,afgdh,aij,ajb,agf,aegb,bfe,bji,chj,cihd
10 bcde,aefg,ahi,aig,afb,beg,bfdj,cji,chjd,gih
10 bcdefgh,aic,abid,acihe,adjf,aejg,afj,ajd,bdc,ehgf
10 bcdefghi,ajc,abjd,acjie,adhf,aehg,afh,agfei,ahd,bdc
10 bcdefghij,ajc,abjd,acjih,ahf,aehg,afh,agfedi,ahd,adcb
10 bcdefghi,aij,ajihg,age,adgf,aeg,afedch,agc,acjb,bic
10 bcdefgh,aij,ajihg,age,adgf,aeg,afedch,agc,bcj,bic
10 bcdefghi,aij,ajih,age,adgf,aeg,afedh,agc,acjb,bic
10 bcdefgh,aij,ajih,age,adgf,aeg,afedh,agc,bcj,bic
10 bcdefghi,aihj,afd,acfe,adf,aedcjg,afj,ajbi,ahb,bhgf
10 bcdefgh,ahi,afd,acfe,adf,aedcjg,afj,ajib,bhj,fihg
10 bcdefghi,adj,ajd,acjbie,adi,aihg,afh,agfi,ahfed,bdc
10 bcdefgh,ahi,aihgf,afj,ajf,aejdcg,afc,acib,bhc,dfe
10 bcdefgh,ahi,aihg,afj,ajf,aejdg,afc,acib,bhc,dfe
10 bcdefg,ahi,aihg,afj,ajf,aejdg,afc,bci,bhc,dfe
10 bcdefg,ahi,aihgf,afj,ajf,aejdcg,afc,bci,bhc,dfe
10 bcdefgh,ahgi,aej,aje,adjcif,aei,aibh,agb,bgfe,ced
10 bcdefgh,aic,abid,acihg,agj,ajg,afjedh,agd,bdc,egf
10 bcdefghi,aihc,abhg,afj,ajf,aejdg,afc,acbi,ahb,dfe
10 bcdefgh,ahgi,aej,aje,adjcf,aei,aibh,agb,bgf,ced
10 bcdefg,agh,aei,aie,adicf,aej,ajhb,bgj,ced,fhg
10 bcdefgh,aic,abid,acih,agj,ajg,afjeh,agd,bdc,egf
10 bcdefg,aghi,aej,aje,adjcf,aei,ahb,bgi,bhf,ced
10 bcdef,agh,aei,aie,adicf,aej,bjh,bgj,ced,fhg
10 bcdefghi,ajc,abjd,acjih,ahf,aehg,afh,agfedi,ahd,bdc
10 bcdefgh,ahij,afd,acfe,adf,aedcjg,afj,aib,bhj,bigf
10 bcdefghij,aji,aihg,age,adgf,aeg,afedch,agc,acbj,aib
10 bcdefghi,adj,ajd,acjbie,adi,aihg,afh,agf,afed,bdc
10 bcdefghi,adj,ajd,acjbe,adi,aihg,afh,agf,afe,bdc
10 bcdefgh,aic,abi,aih,agj,ajg,afjeh,agd,bdc,egf
10 bcdefgh,aic,abi,aihg,agj,ajg,afjedh,agd,bdc,egf
10 bcdefghi,ajc,abj,ajih,ahf,aehg,afh,agfedi,ahd,bdc
10 bcdefghij,ajc,abj,ajih,ahf,aeg,afh,agedi,ahd,adcb
10 bcdefghi,ajc,abj,ajih,ahf,aeg,afh,agedi,ahd,bdc
10 bcdefghij,ajc,abj,aji,ahf,aeg,afh,agei,ahd,adcb
10 bcdefghi,ajc,abj,aji,ahf,aeg,afh,agei,ahd,bdc
10 bcdefghij,ajc,abj,aji,ahf,aehg,afh,agfei,ahd,adcb
10 bcdefghi,ajc,abj,aji,ahf,aehg,afh,agfei,ahd,bdc
10 bcdefghij,ajc,abjd,acji,ahf,aehg,afh,agfei,ahd,adcb
10 bcdefghi,aihj,afd,acfe,adf,aedcg,afj,ajbi,ahb,bhg
10 bcdefgh,ahi,afd,acfe,adf,aedcg,afj,ajib,bhj,gih
10 bcdefghi,ajc,abjd,acji,ahf,aehg,afh,agfei,ahd,bdc
10 bcdefgh,ahij,afd,acfe,adf,aedcg,afj,aib,bhj,big
10 bcdefg,ahi,afd,acfe,adf,aedcg,afj,bji,bhj,gih
10 bcdefghij,ajc,abjd,acjihe,adhf,aeg,afh,agedi,ahd,adcb
10 bcdefghi,aij,ajihgd,acge,adf,aeg,afdch,agc,acjb,bic
10 bcdefgh,aiec,abd,ace,adbif,aei,aijh,agj,bjgfe,gih
10 bcdefgh,aigfej,ajd,ace,adjbf,aeb,abih,agi,bhg,bec
10 bcdefg,ahi,aihgfj,aje,adf,aejcg,afc,bci,bhc,cfd
10 bcdefgh,aij,ajihgd,acge,adf,aeg,afdch,agc,bcj,bic
10 bcdefg,ahec,abd,ace,adbhf,aeh,aij,bjife,ghj,gih
10 bcdefghi,aigfej,ajd,ace,adjbf,aeb,abih,agi,ahgb,bec
10 bcdefgh,ahgi,ajd,ace,adjif,aei,aibh,agb,bgfej,cie
10 bcdefg,agh,aid,ace,adijf,aej,ajhb,bgj,cje,eihgf
10 bcdefgh,aic,abid,acihgj,ajf,aeg,afjdh,agd,bdc,dge
10 bcdefg,aghi,ajd,ace,adjif,aei,ahb,bgi,bhfej,cie
10 bcdef,agh,aid,ace,adijf,aej,bjh,bgj,cje,eihgf
10 bcdefghi,aic,abid,achgj,ajf,aeg,afjdh,agd,acb,dge
10 bcdefgh,ahgi,ajd,ace,adjif,aei,abh,agb,bfej,cie
10 bcdefghi,aij,ajg,agfe,adf,aedg,afdcjh,agji,ahb,bhgc
10 bcdefgh,ahi,aihgjd,acje,adf,aej,ajc,acib,bhc,cgfd
10 bcdefg,ahic,abd,aci,aih,ahjg,afj,bjfei,bhed,fhg
10 bcdefg,ahfeij,ajd,aci,aib,abhg,afh,bgf,bedj,bic
10 bcdefg,ahi,aihgjd,acje,adf,aej,ajc,bci,bhc,cgfd
10 bcdef,aghc,abd,ach,ahg,aij,bjieh,bged,fgj,fig
10 bcdefgh,ahfeij,ajd,aci,aib,abhg,afh,agfb,bedj,bic
10 bcdefg,agfh,aid,acj,ajh,ahbg,afb,bfeji,chj,dihe
10 bcdef,afg,ahd,aci,aij,ajgb,bfj,cji,dhje,eihgf
10 bcdefg,ahc,abhd,achgij,ajf,aei,aid,bdc,dgfj,die
10 bcdef,afgh,aid,acj,ajh,agb,bfh,bgeji,chj,dihe
10 bcdefgh,ahgc,abfij,aje,adi,aic,abh,agb,cfej,cid
10 bcdefg,agfh,aid,acj,ajh,abg,afb,beji,chj,dihe
10 bcdefgh,aic,abid,acihje,adjf,aeg,afj,ajd,bdc,dhge
10 bcdefghi,aic,abid,achje,adjf,aeg,afj,ajd,acb,dhge
10 bcdefghi,ajc,abjd,acjihe,adhf,aeg,afh,agedi,ahd,bdc
10 bcdefghij,ajc,abj,ajihe,adhf,aeg,afh,agedi,ahd,adcb
10 bcdefghi,ajec,abd,ace,adbjf,aej,ajih,agi,ahg,bgfe
10 bcdefgh,aic,abd,acije,adj,ajhg,afh,agf,bjd,dife
10 bcdefghi,agfej,ajd,ace,adjbf,aeb,abih,agi,ahg,bec
10 bcdefgh,aic,abi,aihgj,ajf,aeg,afjdh,agd,bdc,dge
10 bcdefghi,aij,ajg,agfe,adf,aed,adcjh,agji,ahb,bhgc
10 bcdefgh,aijc,abd,acj,aji,aihg,afh,agf,bfej,bied
10 bcdefg,ahc,abi,aij,ajgf,aeg,afe,bji,chjd,dihe
10 bcdefgh,afeij,ajd,aci,aib,abhg,afh,agf,bedj,bic
10 bcdefg,ahc,abh,ahgij,ajf,aei,aid,bdc,dgfj,die
10 bcdefgh,aic,abi,aihje,adjf,aeg,afj,ajd,bdc,dhge
10 bcdefg,ahic,abd,aci,aih,ajg,afj,bjei,bhed,fhg
10 bcdef,agc,abh,ahi,ajf,aej,bih,cgid,dhgj,eif
10 bcdefghi,ajc,abj,ajihe,adhf,aeg,afh,agedi,ahd,bdc
10 bcdefgh,aiec,abd,ace,adbif,aei,ajh,agj,bjfe,gih
10 bcdefg,ahc,abd,achie,adi,ajg,afj,bid,dhje,fig
10 bcdefghij,ajc,abd,acjie,adi,ahg,afh,agfi,ahedj,aidb
10 bcdefghij,ajc,abd,acje,adi,aihg,afh,agfi,ahfej,aidb
10 bcdefghi,aij,ajihd,acge,adf,aeg,afdh,agc,acjb,bic
10 bcdefghi,aij,ajih,age,adf,aeg,afdh,agc,acjb,bic
10 bcdefgh,aij,ajih,age,adf,aeg,afdh,agc,bcj,bic
10 bcdefgh,aiec,abd,ace,adbf,aei,aijh,agj,bjgf,gih
10 bcdefgh,aigfj,ajd,ace,adjf,aeb,abih,agi,bhg,bec
10 bcdefg,ahi,aihgj,aje,adf,aejg,afc,bci,bhc,cfd
10 bcdefgh,aij,ajihd,acge,adf,aeg,afdh,agc,bcj,bic
10 bcdefg,ahec,abd,ace,adbf,aeh,aij,bjif,ghj,gih
10 bcdefghi,aigfj,ajd,ace,adjf,aeb,abih,agi,ahgb,bec
10 bcdefgh,ahgi,ajd,ace,adjf,aei,aibh,agb,bgfj,cie
10 bcdefg,agh,aid,ace,adif,aej,ajhb,bgj,cje,fihg
10 bcdefgh,aic,abid,acihj,ajf,aeg,afjh,agd,bdc,dge
10 bcdefg,aghi,ajd,ace,adjf,aei,ahb,bgi,bhfj,cie
10 bcdef,agh,aid,ace,adif,aej,bjh,bgj,cje,fihg
10 bcdefghi,aij,ajg,agfe,adf,aedg,afdch,agji,ahb,bhc
10 bcdefgh,ahi,aihgd,acje,adf,aej,ajc,acib,bhc,dgf
10 bcdefg,ahic,abd,aci,aih,ahjg,afj,bjfe,bed,fhg
10 bcdefg,ahfei,aid,acj,ajb,abhg,afh,bgf,bjc,die
10 bcdef,agh,ahgfi,aie,adj,ajc,bch,bgc,cjd,eif
10 bcdefg,ahi,aihgd,acje,adf,aej,ajc,bci,bhc,dgf
10 bcdef,aghc,abd,ach,ahg,aij,bjie,bed,fgj,fig
10 bcdefgh,ahfei,aid,acj,ajb,abhg,afh,agfb,bjc,die
10 bcdefg,agfh,aid,acj,ajh,ahbg,afb,bfei,chj,die
10 bcdef,afg,ahd,aci,aij,ajgb,bfj,cji,dhe,ehgf
10 bcdefg,ahc,abhd,achgi,aif,aej,ajd,bdc,dje,fig
10 bcdef,afgh,aid,acj,ajh,agb,bfh,bgei,chj,die
10 bcde,afg,ahd,aci,aij,bjg,bfj,cji,dhe,ehgf
10 bcdefgh,aic,abid,acihe,adjf,aeg,afj,ajd,bdc,ehg
10 bcdefghi,ajc,abjd,acjie,adhf,aeg,afh,agei,ahd,bdc
10 bcdefghij,ajc,abjd,acji,ahf,aeg,afh,agei,ahd,adcb
10 bcdefghi,aihj,afd,ace,adf,aecg,afj,ajbi,ahb,bhg
10 bcdefgh,ahi,afd,ace,adf,aecg,afj,ajib,bhj,gih
10 bcdefghi,ajc,abjd,acji,ahf,aeg,afh,agei,ahd,bdc
10 bcdefgh,ahij,afd,ace,adf,aecg,afj,aib,bhj,big
10 bcdefg,ahi,afd,ace,adf,aecg,afj,bji,bhj,gih
10 bcdefghij,ajc,abjd,acjih,ahf,aeg,afh,agedi,ahd,adcb
10 bcdefghi,aij,ajihg,age,adf,aeg,afdch,agc,acjb,bic
10 bcdefgh,aij,ajihg,age,adf,aeg,afdch,agc,bcj,bic
10 bcdefghi,aihj,afd,ace,adf,aecjg,afj,ajbi,ahb,bhgf
10 bcdefgh,ahi,afd,ace,adf,aecjg,afj,ajib,bhj,fihg
10 bcdefghi,ajc,abjd,acjih,ahf,aeg,afh,agedi,ahd,bdc
10 bcdefgh,ahij,afd,ace,adf,aecjg,afj,aib,bhj,bigf
10 bcdefg,ahi,afd,ace,adf,aecjg,afj,bji,bhj,fihg
10 bcdefghij,ajc,abjd,acihe,adhf,aehg,afh,agfedi,ahdj,aicb
10 bcdefghi,aij,ajhgd,acge,adgf,aeg,afedch,agci,ahjb,bic
10 bcdefgh,aiec,abed,ace,adcbif,aeig,afjh,agj,bjfe,gih
10 bcdefg,ahdc,abd,acbhie,adif,aejg,afj,bid,dhje,fig
10 bcdef,agc,abghid,acie,adjf,aej,bhc,cgi,chjd,eif
10 bcdefgh,ahgfei,aijd,acj,ajibf,aebg,afbh,agb,bec,ced
10 bcdefg,ahec,abed,ace,adcbhi,aijg,afj,bjie,ehf,fhg
10 bcdef,agdc,abd,acbghi,aijf,aej,bhd,dgji,dhe,ehf
10 bcdefghi,aihj,ajfd,acfe,adf,aedcjg,afjh,agbi,ahb,bgfc
10 bcdefgh,ahi,aijd,acfe,adf,aedj,ajih,agib,bhgjc,cigf
10 bcdefg,ahdc,abd,acbi,aijf,aejg,afj,bji,dhje,eihgf
10 bcdefgh,ahgfij,ajed,ace,adci,aibg,afbh,agb,bfej,bic
10 bcdefghi,aifej,ajed,ace,adcjbf,aebg,afih,agi,ahgb,bec
10 bcdefgh,ahi,aigfj,ajfe,adf,aedjcg,afch,agib,bhc,cfd
10 bcdefgh,ahgi,ajed,ace,adcjif,aeig,afbh,agb,bfej,cie
10 bcdefgh,ahgifj,ajed,ace,adcf,aejbi,aibh,agb,bgf,bfc
10 bcdefg,agfh,aied,ace,adcihj,ajbg,afb,bjei,che,ehf
10 bcdefghi,aih,agfj,ajfe,adf,aedjcg,afch,agbi,ahb,cfd
10 bcdefghi,aidj,ajd,acjbie,adif,aehg,afh,agfi,ahedb,bdc
10 bcdefgh,ahi,aigfd,acfj,ajf,aejdcg,afch,agib,bhc,dfe
10 bcdefg,ahdi,aid,acibhe,adhf,aejg,afj,bjed,bdc,fhg
10 bcdefg,ahedi,ajd,acjibe,adbf,aehg,afh,bgf,bdj,cid
10 bcdefgh,ahgi,aiej,aje,adjcif,aeig,afbh,agb,bfec,ced
10 bcdefg,ahi,aijd,acfe,adf,aedj,ajih,bgi,bhgjc,cigf
10 bcdef,agdc,abd,acbh,ahij,aji,bih,dgie,ehgfj,eif
10 bcdefgh,ahedi,ajd,acjibe,adbf,aehg,afh,agfb,bdj,cid
10 bcdefg,agfh,aid,acijhe,adhf,aebg,afb,bedj,cjd,dih
10 bcdefgh,aij,ajgd,acfe,adf,aedg,afcjh,agji,bhj,bihgc
10 bcdefg,agh,ahfid,acij,aji,aicg,afhb,bgc,cfejd,die
10 bcdef,aghi,aih,ahge,adjf,aej,bjdh,bgdci,bhc,egf
10 bcdef,agdhi,ajh,ahbe,adgf,aeg,bfe,bdcji,bhj,cih
10 bcdef,aghc,abh,ahgie,adij,aji,bid,bdc,dgfje,eif
10 bcdefg,agdhi,ajh,ahbe,adgf,aeg,afeb,bdcji,bhj,cih
10 bcdef,afeg,ahi,aige,adbf,aeb,bdij,cji,chjgd,gih
10 bcdefg,ahdc,abd,acbe,adhif,aeij,aji,bie,ehgjf,fig
10 bcdef,afghi,ajh,agfe,adf,aedb,bdh,bgcji,bhj,cih
10 bcde,aedf,agh,aibe,adb,bihj,cjh,cgjfi,dhf,fhg
10 bcdefgh,aifc,abed,ace,adc,abig,afij,aji,bhjgf,gih
10 bcdefg,ahij,aji,aihe,adgf,aeg,afe,bdi,bhdcj,bic
10 bcdefg,adhi,ajh,ahbe,adgf,aeg,afe,bdcji,bhj,cih
10 bcdefgh,ahigfj,ajed,ace,adcf,aejbg,afbi,aib,bhg,bfc
10 bcdefg,aghdi,ajd,acjibh,ahgf,aeg,afeb,bed,bdj,cid
10 bcdef,afeg,ahd,achigj,ajbf,aeb,bjdi,cid,dhg,dge
10 bcdefgh,ahei,aid,acie,adbhf,aehj,ajh,agjfeb,bdc,fhg
10 bcdefg,ahi,aigfd,acfj,ajf,aejdcg,afch,bgi,bhc,dfe
10 bcdef,agdh,ahd,achbge,adgi,aij,bjed,bdc,ejf,fig
10 bcdef,agedh,aid,acihbe,adbj,ajg,bfj,bdi,chd,egf
10 bcdefg,aghi,aiej,aje,adjcif,aeih,ahb,bgf,bfec,ced
10 bcdef,agh,ahij,aje,adji,aihg,bfh,bgfic,chfe,ced
10 bcdefg,agedh,aid,acihbe,adbj,ajg,afjb,bdi,chd,egf
10 bcdef,afgh,aid,acijhe,adhg,agb,bfe,bedj,cjd,dih
10 bcde,afg,ahd,achije,adjf,beg,bfj,cid,dhj,dige
10 bcdefg,ahi,aifj,aje,adjf,aecig,afih,bgi,bhgfc,ced
10 bcdef,agh,ahfid,acij,aji,aicg,bfh,bgc,cfejd,die
10 bcde,afgh,ahg,agfi,aij,bjdg,bfdch,bgc,dje,eif
10 bcdef,afdgh,aig,agbj,ajf,aejb,bdcih,bgi,chg,dfe
10 bcde,aefg,ahi,aigf,afb,bed,bdij,cji,chjgd,gih
10 bcdefg,aghfei,ajd,acje,adibf,aebh,ahb,bgf,bej,cid
10 bcdef,agh,aid,acie,adjhf,aehg,bfh,bgfej,cjd,eih
10 bcdefghi,ajc,abjihd,ache,adgf,aeg,afe,adci,ahcj,bic
10 bcdefgh,aidj,ajd,acjbie,adif,aehg,afh,agf,bed,bdc
10 bcdefgh,aedi,ajd,acjibe,adbf,aehg,afh,agf,bdj,cid
10 bcdefghi,aij,ajgd,acfe,adf,aedg,afcjh,agji,ahjb,bihgc
10 bcdefgh,ahi,aigjd,acje,adjf,aej,ajch,agib,bhc,cgfed
10 bcdefg,ahic,abid,aci,aihf,aejg,afj,bjei,bhedc,fhg
10 bcdef,aghc,abh,ahie,adjf,aej,bih,bgidc,dhgj,eif
10 bcde,afg,aghd,acie,adi,bjg,bfjhc,cgji,dhe,fhg
10 bcdefg,ahic,abi,aihje,adjf,aejg,afj,bjd,bdc,dhgfe
10 bcdef,aghc,abhd,ach,aijf,aej,bjih,bgidc,ehg,egf
10 bcde,afgc,abg,ahie,adi,bjg,bfjhc,dgj,dje,fihg
10 bcdefgh,aheij,ajid,aci,aibf,aehg,afh,agfb,bedcj,bic
10 bcdefg,agh,ahfij,ajie,adi,aicg,afhb,bgc,cfedj,cid
10 bcdef,aghc,abh,ahgij,ajif,aei,bid,bdc,dgfej,die
10 bcdefg,agfh,aijd,acj,ajhf,aebg,afb,beji,chj,cihed
10 bcdefg,ahdc,abd,acbe,adhij,ajig,afi,bie,ehgfj,eif
10 bcdef,afeg,ahid,aci,ajbf,aeb,bjih,cgi,chgjd,eig
10 bcdefgh,ahc,abh,agij,ajif,aei,aidh,agcb,dgfej,die
10 bcdefgh,aidc,abd,acbe,adijf,aejg,afjh,agj,bje,eihgf
10 bcdefghi,ajfc,abed,ace,adc,abjg,afjh,agji,ahj,bihgf
10 bcdefgh,aijc,abjd,acj,ajif,aehg,afh,agf,bej,biedc
10 bcdefg,ahic,abi,aije,adgf,aeg,afe,bji,bhjdc,dih
10 bcdef,agh,ahid,acfe,adf,aed,bjh,bgjic,chj,gih
10 bcdefghi,aihgfj,ajed,ace,adcf,aejbg,afbh,agbi,ahb,bfc
10 bcdefghi,aiej,ajd,acje,adbif,aeig,afih,agi,ahgfeb,bdc
10 bcdefgh,aij,ajhgd,acge,adgf,aeg,afedch,agci,bhj,bic
10 bcdefg,ahec,abed,ace,adcbhf,aehi,aij,bjfe,fjg,gih
10 bcdef,agdc,abd,acbghe,adhi,aij,bhd,dgje,ejf,fih
10 bcdefgh,ahij,ajfd,acfe,adf,aedcjg,afji,aib,bhg,bgfc
10 bcdefg,agh,ahij,aje,adji,aihg,afhb,bgfic,chfe,ced
10 bcdefgh,ahfei,aied,ace,adcibf,aebj,ajh,agjb,bec,fhg
10 bcdefg,ahi,aigfj,ajfe,adf,aedjcg,afch,bgi,bhc,cfd
10 bcdefg,aghi,ajed,ace,adcjif,aeih,ahb,bgf,bfej,cie
10 bcdefg,agfhei,ajd,acje,adibh,ahbg,afb,bfe,bej,cid
10 bcdef,afg,ahd,ache,adigj,ajgb,bfjei,cid,ehg,egf
10 bcdefgh,ahi,aifj,aje,adjf,aecig,afih,agib,bhgfc,ced
10 bcdefg,ahi,aigjd,acje,adjf,aej,ajch,bgi,bhc,cgfed
10 bcdef,aghc,abhd,ach,ahgi,aij,bjeh,bgedc,ejf,fig
10 bcde,afgc,abg,aghi,aij,bhg,bfhdc,dgfj,dje,eih
10 bcdefg,agehi,aihd,ach,ahbj,ajg,afjb,bedci,bhc,egf
10 bcdef,afgh,aijd,acj,ajhg,agb,bfe,beji,chj,cihed
10 bcdefgh,ahgfei,ajd,acje,adibf,aebg,afbh,agb,bej,cid
10 bcdefg,agh,aid,acie,adjhf,aehg,afhb,bgfej,cjd,eih
10 bcdefghij,ajc,abjihd,ache,adgf,aeg,afe,adci,ahcj,aicb
10 bcdefghi,ajec,abed,ace,adcbjf,aejg,afih,agi,ahg,bfe
10 bcdefgh,aidc,abd,acbije,adjf,aehg,afh,agf,bjd,die
10 bcdefg,ahc,abhijd,acje,adgf,aeg,afe,bic,chj,cid
10 bcdefghij,ajc,abjid,ache,adgf,aeg,afeh,agdi,ahcj,aicb
10 bcdefghi,aij,ajhd,acge,adgf,aeg,afedh,agci,ahjb,bic
10 bcdefgh,aiec,abed,ace,adcbf,aeig,afjh,agj,bjf,gih
10 bcdefg,ahdc,abd,acbhe,adif,aejg,afj,bid,ehj,fig
10 bcdef,agc,abghd,acie,adjf,aej,bhc,cgi,dhj,eif
10 bcdefgh,ahi,aifd,acje,adj,ajcg,afih,agib,bhgc,dfe
10 bcdefg,ahic,abid,aci,aihf,aejg,afj,bje,bedc,fhg
10 bcdef,aghc,abh,ahie,adjf,aej,bih,bgdc,dgj,eif
10 bcde,afg,aghd,acie,adi,bjg,bfjc,cji,dhe,fhg
10 bcdefg,ahic,abi,aihe,adjf,aejg,afj,bjd,bdc,ehgf
10 bcdef,aghc,abhd,ach,aijf,aej,bji,bidc,ehg,egf
10 bcde,afgc,abg,ahie,adi,bjg,bfhc,dgj,dje,fih
10 bcd,aef,aghd,ach,bif,beig,cfj,cjd,ejf,gih
10 bcdefgh,ahgfi,aijd,acj,ajif,aebg,afbh,agb,bec,ced
10 bcdefg,ahec,abed,ace,adcbi,aijg,afj,bji,ehf,fhg
10 bcdef,agdc,abd,acbgh,ahif,aei,bjd,dje,ejf,gih
10 bcde,afc,abfgh,ahie,adi,bgc,cfj,cjd,dje,gih
10 bcdefgh,ahdi,aij,ajbe,adhf,aehg,afh,agfeb,bjc,cid
10 bcdefg,ahec,abed,ace,adcbf,aehi,aij,bjf,fjg,gih
10 bcdef,agdc,abd,acbge,adhi,aij,bhd,egj,ejf,fih
10 bcdefg,agh,ahei,aij,ajcf,aehg,afhb,bgfc,cjd,die
10 bcdef,aghc,abhd,ach,ahgi,aij,bje,bedc,ejf,fig
10 bcdefg,agfeh,aij,ajhe,adbf,aebg,afb,bdi,chj,cid
10 bcdef,afg,ahi,aije,adgf,aegb,bfej,cji,chd,dhg
10 bcdefgh,ahc,abhg,afi,aij,ajdg,afch,agcb,dje,eif
10 bcdefg,ahec,abed,ace,adcb,ahi,aij,bjf,fjg,gih
10 bcdef,agdc,abd,acbg,ahi,aij,bhd,egj,ejf,fih
10 bcdefg,agh,aei,aij,ajcf,aehg,afhb,bgf,cjd,die
10 bcdefghi,aic,abih,age,adjf,aej,ajdh,agci,ahcb,egf
10 bcdefgh,aiec,abed,ace,adcb,aig,afjh,agj,bjf,gih
10 bcdefg,ahdc,abd,acbh,aif,aejg,afj,bid,ehj,fig
10 bcdef,agc,abgh,aie,adjf,aej,bhc,cgi,dhj,eif
10 bcdefg,agh,aid,acje,adj,aihg,afhb,bgf,cfj,die
10 bcdef,aghc,abh,aie,adjf,aej,bih,bgc,dgj,eif
10 bcde,afg,ahd,acie,adi,bjg,bfj,cji,dhe,fhg
10 bcdefgh,ahi,afd,acje,adj,ajcg,afih,agib,bhg,dfe
10 bcdefghi,aihj,ajfd,acfe,adf,aedcg,afjh,agbi,ahb,bgc
10 bcdefgh,aidc,abd,acbie,adjf,aehg,afh,agfj,bjd,eih
10 bcdefgh,aidj,ajd,acjbe,adif,aehg,afh,agfi,bhe,bdc
10 bcdefg,ahi,aijd,acfe,adf,aedj,ajih,bgi,bhgc,cgf
10 bcdef,agdc,abd,acbh,ahij,aji,bih,dge,egfj,eif
10 bcdefg,aghfi,aied,ace,adcj,ajbh,ahb,bgf,bjc,eif
10 bcdefgh,ahi,aijd,acfe,adf,aedj,ajih,agib,bhgc,cgf
10 bcdefg,ahdc,abd,acbi,aijf,aejg,afj,bji,dhe,ehgf
10 bcdefgh,ahgfi,aied,ace,adcj,ajbg,afbh,agb,bjc,eif
10 bcdefg,ahdc,abd,acbhi,aigf,aeg,afej,bjd,dje,gih
10 bcdefgh,ahij,ajd,acji,aihf,aehg,afh,agfeb,bed,bdc
10 bcdefg,ahdc,abd,acbhe,adij,ajg,afji,bid,ehg,egf
10 bcdefg,ahdi,aid,acibe,adhj,ajg,afjh,bge,bdc,egf
10 bcdef,agh,ahij,aje,adji,aihg,bfh,bgfc,cfe,ced
10 bcdefg,agh,ahij,aje,adji,aihg,afhb,bgfc,cfe,ced
10 bcdefg,agfeh,aid,acij,ajbf,aebg,afb,bji,chd,dhe
10 bcdef,afg,ahd,achi,aigf,aegb,bfej,cjd,dje,gih
10 bcdefghi,aifj,ajed,ace,adcjf,aebg,afih,agi,ahgb,bec
10 bcdefgh,ahi,aigj,ajfe,adf,aedjg,afch,agib,bhc,cfd
10 bcdefg,agh,ahfd,acie,adi,aicj,ajhb,bgjc,dfe,fhg
10 bcdef,aghc,abh,ahgi,aijf,aej,bjd,bdc,dje,eigf
10 bcdefg,agfhi,aijd,acj,ajih,ahbg,afb,bfe,bec,ced
10 bcdefgh,ahi,aigd,acfe,adf,aedg,afcj,ajib,bhjc,gih
10 bcdefg,agfh,aijd,acj,ajhf,aebg,afb,bei,chj,cied
10 bcdef,agdc,abd,acbh,aijf,aej,bjh,dgi,ehj,eigf
10 bcdefg,ahdc,abd,acbe,adhi,aijg,afj,bje,ejf,fihg
10 bcdefgh,ahgij,ajed,ace,adcf,aeji,aibh,agb,bgf,bfc
10 bcdefgh,ahei,aid,acie,adbj,ajhg,afh,agfjb,bdc,ehf
10 bcdefg,ahi,aigj,ajfe,adf,aedjg,afch,bgi,bhc,cfd
10 bcdef,afg,ageh,ahi,aicj,ajgb,bfjc,cid,dhe,egf
10 bcdefg,agh,ahfi,aie,adif,aecj,ajhb,bgjc,ced,fhg
